"","Species","seed.source","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN","Field",0.0215669260279893,0.0234372731640967,619,-0.0244592797669635,0.0675931318229421
"3","CAIN","Field",0.0220779445008082,0.0173952547356367,619,-0.0120829226236374,0.0562388116252538
"5","STDI","Field",-0.135186874661435,0.0116705637086333,619,-0.15810557186805,-0.11226817745482
"7","STGL","Field",-0.0194922080711883,0.0167157617765845,619,-0.0523186843494553,0.0133342682070788
"8","STIN","Field",-0.0291657612493078,0.0072937378980957,619,-0.0434892313544589,-0.0148422911441567
"9","STPO","Field",-0.0359858723670316,0.0155315641377212,619,-0.066486816837626,-0.00548492789643715
"10","STTO","Field",0.0898591298889344,0.0341994584657511,619,0.0226981038429562,0.157020155934913
"12","CACO","SH",0.00183695716836126,0.0124680150112277,619,-0.0226477779261808,0.0263216922629033
"14","STBR","SH",-0.0350711055431063,0.0141836818242039,619,-0.0629250736220802,-0.0072171374641325
"16","STDR","SH",-0.0114467235395376,0.0120775318718918,619,-0.0351646263663197,0.0122711792872445
